路回临石岸，树老出墙根。野水合诸涧，桃花成一村。	1
呼鸡过篱栅，行酒尽儿孙。老矣吾将隐，前峰恰对门。	1
浓似春云淡似烟，参差绿到大江边。斜阳流水推篷坐，翠色随人欲上船。	1
泠泠出山泉，萧萧秋树林。幽人结茅庵，中有太古心。	1
文忠立朝端，正人所依附。国家有大计，立断无所顾。	1
平生惟朴直，异域亦爱慕。巍然咸同间，赖此中流柱。	1
寂寥山水笔，冲厚意何裕。好将配文节，艺事道已寓。	1
霜落空山野气宽，西风向暮渐阑干。夕阳衰草六七里，无数荒鸦催早寒。	1
多事空虚闻足音，荒崖无路昼阴阴。山人相见不相识，借问白云何处深。	1
夕阳西崦近黄昏，松翠山光化墨痕。一片秋阴收不住，淡云微雨入孤村。	1
小桥隔修埼，蔼蔼松林长。但见白云外，高峰明夕阳。	1
杳杳樵人踪，石路蹇且缦。木末早凉生，微阴动荒涧。	1
夕阴带野秀，秋气生亭皋。老鹤未归来，寥天惜羽毛。	1
画笔诗心秀气钟，含毫不待守南宗。罗江娇女閒调粉，夺得清湘雪后峰。	1
清溪带长薄，芳草随人远。偷閒为买山，不恨西风晚。	1
归鸦没西岭，群壑暧清景。何处牛羊下，疏树淡无影。	1
秋光入林薄，野桥秋水生。不见买山人，山与斜阳平。	1
崭石赭其腹，峻坂童其巅。恐是采樵人，斫破秋林烟。	1
凉云带澄浦，江岸半烟树。落叶下扁舟，稳载秋风住。	1
自写衰容项孔彰，朱家画本意堪伤。老夫未合称遗老，待拨江山反少康。	1
断桥溃岸数家村，雨少晴多减涨痕。雪白鹅儿绿杨柳，日高犹自掩柴门。	1
弓玉都亡宝笈空，飘零犹未出寰中。今年虐暑张厅壁，抵得刘褒画北风。	1
耕烟师事及西庐，先就廉州并肄书。少作滋腴已殊众，当时名辈岂虚誉。	1
二士风流比阮嵇，年来物役苦难齐。欲知白下閒踪迹，祇向书堂觅旧题。	1
江东顾五倦游还，占取城西水一湾。捲捲清诗皆入画，底须俗笔污溪山。	1
远岫疏林澹有无，回溪密树又纷敷。令人惆怅宫墙外，不写栏边水半湖。	1
莫便逢人写好山，扁舟才过富春还。游吴不共梁鸿赋，可惜芳时二月间。	1
不闻欸乃声，但见山水绿。烟雨昼濛濛，人在青溪曲。	1
卧游长在水云间，流水无声云亦閒。自是软红缘未尽，南中随地有溪山。	1
